car_model,theme,frequency,percentage
Cupra Born,Modern/Sleek,16,9.63855421686747
Cupra Born,Urban/City,13,7.83132530120482
Cupra Born,Performance/Sporty,16,9.63855421686747
Cupra Born,Dynamic,13,7.83132530120482
Cupra Born,Eco-Friendly,16,9.63855421686747
Cupra Born,Contemporary,13,7.83132530120482
Cupra Born,Design,16,9.63855421686747
Cupra Born,Nature/Outdoor,11,6.626506024096386
Cupra Born,Family-Oriented,9,5.421686746987952
Cupra Born,Safety,9,5.421686746987952
Cupra Born,Connectivity,9,5.421686746987952
Cupra Born,Minimalist,10,6.024096385542169
Cupra Born,Innovative/Tech,6,3.614457831325301
Cupra Born,Comfort,6,3.614457831325301
Cupra Born,Bold/Striking,3,1.8072289156626504
Volkswagen ID.4,Performance/Sporty,3278,10.866538487038389
Volkswagen ID.4,Eco-Friendly,3992,13.233441623019292
Volkswagen ID.4,Family-Oriented,2620,8.685274812703044
Volkswagen ID.4,Safety,2162,7.167009215673274
Volkswagen ID.4,Comfort,1706,5.655373599416562
Volkswagen ID.4,Design,3023,10.021215938473778
Volkswagen ID.4,Connectivity,2642,8.758204601206657
Volkswagen ID.4,Modern/Sleek,2396,7.942716966120798
Volkswagen ID.4,Innovative/Tech,1268,4.203407810117351
Volkswagen ID.4,Contemporary,1424,4.7205463104157
Volkswagen ID.4,Dynamic,2076,6.881920042431878
Volkswagen ID.4,Minimalist,547,1.81329974143075
Volkswagen ID.4,Professional,373,1.2364914141748988
Volkswagen ID.4,Bold/Striking,303,1.0044420871179474
Volkswagen ID.4,Futuristic,853,2.827686799708281
Volkswagen ID.4,Sophisticated,221,0.7326128754226613
Volkswagen ID.4,Luxury,143,0.47404362527348665
Volkswagen ID.4,Nature/Outdoor,438,1.451965789299211
Volkswagen ID.4,Efficiency,628,2.081813962739508
Volkswagen ID.4,Urban/City,73,0.24199429821653518
Volkswagen ID.3,Modern/Sleek,29,13.063063063063062
Volkswagen ID.3,Sophisticated,27,12.162162162162163
Volkswagen ID.3,Innovative/Tech,28,12.612612612612612
Volkswagen ID.3,Eco-Friendly,24,10.81081081081081
Volkswagen ID.3,Contemporary,29,13.063063063063062
Volkswagen ID.3,Minimalist,28,12.612612612612612
Volkswagen ID.3,Professional,6,2.7027027027027026
Volkswagen ID.3,Design,29,13.063063063063062
Volkswagen ID.3,Luxury,10,4.504504504504505
Volkswagen ID.3,Futuristic,11,4.954954954954955
Volkswagen ID.3,Dynamic,1,0.45045045045045046
Tesla Model Y,Modern/Sleek,527,8.293988039030532
Tesla Model Y,Performance/Sporty,475,7.475605917532263
Tesla Model Y,Dynamic,227,3.5725527226943656
Tesla Model Y,Eco-Friendly,605,9.521561221277935
Tesla Model Y,Luxury,407,6.405413912496065
Tesla Model Y,Contemporary,416,6.547056971986151
Tesla Model Y,Minimalist,209,3.2892666037141955
Tesla Model Y,Nature/Outdoor,166,2.612527541706012
Tesla Model Y,Design,751,11.819326408561535
Tesla Model Y,Sophisticated,349,5.492603084671073
Tesla Model Y,Family-Oriented,420,6.610009442870633
Tesla Model Y,Safety,436,6.861819326408561
Tesla Model Y,Comfort,245,3.8558388416745357
Tesla Model Y,Connectivity,376,5.917532263141329
Tesla Model Y,Innovative/Tech,303,4.768649669499528
Tesla Model Y,Efficiency,43,0.6767390620081838
Tesla Model Y,Futuristic,163,2.56531318854265
Tesla Model Y,Bold/Striking,143,2.250550834120239
Tesla Model Y,Professional,60,0.9442870632672332
Tesla Model Y,Urban/City,33,0.5193578847969783
Volvo EX30,Performance/Sporty,119,9.160892994611238
Volvo EX30,Eco-Friendly,144,11.085450346420323
Volvo EX30,Contemporary,89,6.851424172440339
Volvo EX30,Family-Oriented,107,8.237105465742879
Volvo EX30,Safety,103,7.929176289453426
Volvo EX30,Comfort,78,6.0046189376443415
Volvo EX30,Design,141,10.854503464203233
Volvo EX30,Connectivity,100,7.698229407236336
Volvo EX30,Dynamic,67,5.157813702848345
Volvo EX30,Modern/Sleek,86,6.620477290223249
Volvo EX30,Urban/City,16,1.2317167051578137
Volvo EX30,Sophisticated,25,1.924557351809084
Volvo EX30,Luxury,27,2.0785219399538106
Volvo EX30,Minimalist,43,3.3102386451116246
Volvo EX30,Innovative/Tech,57,4.387990762124711
Volvo EX30,Futuristic,27,2.0785219399538106
Volvo EX30,Professional,10,0.7698229407236336
Volvo EX30,Efficiency,14,1.077752117013087
Volvo EX30,Bold/Striking,22,1.6936104695919936
Volvo EX30,Nature/Outdoor,24,1.8475750577367205
Kia EV3,Performance/Sporty,220,6.320022981901752
Kia EV3,Sophisticated,111,3.1887388681413387
Kia EV3,Innovative/Tech,351,10.08330939385234
Kia EV3,Eco-Friendly,476,13.674231542660156
Kia EV3,Luxury,39,1.120367710428038
Kia EV3,Family-Oriented,189,5.429474288997414
Kia EV3,Professional,92,2.642918701522551
Kia EV3,Design,426,12.23786268313703
Kia EV3,Contemporary,157,4.510198218902614
Kia EV3,Safety,181,5.1996552714737145
Kia EV3,Modern/Sleek,270,7.756391841424878
Kia EV3,Minimalist,195,5.601838552140189
Kia EV3,Futuristic,128,3.6771042803792016
Kia EV3,Nature/Outdoor,90,2.585463947141626
Kia EV3,Connectivity,155,4.4527434645216895
Kia EV3,Dynamic,108,3.102556736569951
Kia EV3,Bold/Striking,125,3.590922148807814
Kia EV3,Efficiency,23,0.6607296753806378
Kia EV3,Urban/City,32,0.9192760700948004
Kia EV3,Comfort,113,3.2461936225222634
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Performance/Sporty,196,14.285714285714285
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Dynamic,182,13.26530612244898
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Family-Oriented,196,14.285714285714285
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Safety,196,14.285714285714285
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Comfort,182,13.26530612244898
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Design,196,14.285714285714285
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Connectivity,196,14.285714285714285
Volvo EX30; Hyundai Ioniq 5; Audi Q4 e-tron; BMW iX1; BMW iX3; Tesla Model Y,Luxury,28,2.0408163265306123
Hyundai Ioniq 5; Volkswagen ID.4,Modern/Sleek,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Performance/Sporty,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Eco-Friendly,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Minimalist,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Family-Oriented,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Safety,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Design,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Connectivity,81,11.11111111111111
Hyundai Ioniq 5; Volkswagen ID.4,Dynamic,36,4.938271604938271
Hyundai Ioniq 5; Volkswagen ID.4,Luxury,9,1.2345679012345678
Hyundai Ioniq 5; Volkswagen ID.4,Comfort,27,3.7037037037037033
Hyundai Ioniq 5; Volkswagen ID.4,Innovative/Tech,9,1.2345679012345678
MG4,Modern/Sleek,33,8.229426433915211
MG4,Performance/Sporty,34,8.478802992518704
MG4,Sophisticated,5,1.2468827930174564
MG4,Luxury,9,2.2443890274314215
MG4,Contemporary,24,5.985037406483791
MG4,Family-Oriented,35,8.728179551122196
MG4,Safety,35,8.728179551122196
MG4,Comfort,16,3.99002493765586
MG4,Design,36,8.977556109725686
MG4,Connectivity,33,8.229426433915211
MG4,Nature/Outdoor,3,0.7481296758104738
MG4,Professional,9,2.2443890274314215
MG4,Minimalist,6,1.4962593516209477
MG4,Eco-Friendly,30,7.4812967581047385
MG4,Innovative/Tech,19,4.738154613466334
MG4,Futuristic,23,5.7356608478802995
MG4,Bold/Striking,19,4.738154613466334
MG4,Urban/City,6,1.4962593516209477
MG4,Dynamic,26,6.483790523690773
Renault Megane E-Tech,Modern/Sleek,26,12.5
Renault Megane E-Tech,Performance/Sporty,22,10.576923076923077
Renault Megane E-Tech,Innovative/Tech,27,12.980769230769232
Renault Megane E-Tech,Dynamic,26,12.5
Renault Megane E-Tech,Eco-Friendly,27,12.980769230769232
Renault Megane E-Tech,Contemporary,15,7.211538461538461
Renault Megane E-Tech,Bold/Striking,10,4.807692307692308
Renault Megane E-Tech,Design,27,12.980769230769232
Renault Megane E-Tech,Nature/Outdoor,15,7.211538461538461
Renault Megane E-Tech,Futuristic,5,2.403846153846154
Renault Megane E-Tech,Family-Oriented,2,0.9615384615384616
Renault Megane E-Tech,Safety,2,0.9615384615384616
Renault Megane E-Tech,Comfort,2,0.9615384615384616
