theme,frequency,percentage
Eco-Friendly,6508,12.048281990521327
Design,5763,10.669061018957345
Performance/Sporty,5264,9.745260663507109
Family-Oriented,4462,8.260515402843602
Modern/Sleek,4336,8.027251184834123
Connectivity,4330,8.01614336492891
Safety,3989,7.384848933649289
Dynamic,3341,6.185204383886256
Comfort,2809,5.200311018957346
Innovative/Tech,2665,4.933723341232228
Contemporary,2529,4.6819460900473935
Futuristic,1516,2.806575829383886
Minimalist,1269,2.3493039099526065
Bold/Striking,1061,1.9642328199052133
Nature/Outdoor,890,1.6476599526066351
Sophisticated,885,1.6384034360189574
Luxury,820,1.518068720379147
Efficiency,752,1.3921800947867298
Professional,571,1.057094194312796
Urban/City,256,0.47393364928909953
